,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Organization,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,2009-12-31,83.5199966430664,83.19999694824219,83.19999694824219,83.5199966430664,14188.0,81.1608657836914,ILD.PA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
1,2010-01-01,83.91000366210938,83.30000305175781,83.5,83.63999938964844,84066.0,81.27748107910156,ILD.PA,,0.0014368145522667408,0.0,0.0,4.925148012404849,0.0,0.0,1,1,1
2,2010-01-02,83.91000366210938,83.30000305175781,83.5,83.63999938964844,84066.0,81.27748107910156,ILD.PA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
3,2010-01-03,83.91000366210938,83.30000305175781,83.5,83.63999938964844,84066.0,81.27748107910156,ILD.PA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
4,2010-01-04,83.91000366210938,83.30000305175781,83.5,83.63999938964844,84066.0,81.27748107910156,ILD.PA,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
5,2010-01-05,85.75,83.91000366210938,83.91000366210938,85.20999908447266,188462.0,82.80314636230469,ILD.PA,,0.018770919491643667,0.0,0.0,1.2418337972545381,0.0,0.0,1,1,1
6,2010-01-06,89.54000091552734,86.5,87.0,89.11000061035156,328076.0,86.59297943115234,ILD.PA,,0.04576929430562071,0.0,0.0,0.7408071653702073,0.0,0.0,1,1,1
7,2010-01-07,88.98999786376953,87.0,88.98999786376953,87.41000366210938,162068.0,84.94100952148438,ILD.PA,,-0.01907751023003257,0.046575756410377034,0.0,-0.506004706226606,10.422892585283337,0.0,0,1,1
8,2010-01-08,88.19999694824219,86.26000213623047,87.61000061035156,87.19999694824219,88150.0,84.7369384765625,ILD.PA,,-0.0024025478214024787,0.04256333793128109,0.0,-0.4560925043808771,0.0485808769300311,0.0,0,1,1
9,2010-01-09,88.0,86.0,87.48999786376953,86.38999938964844,58631.0,83.94979858398438,ILD.PA,,-0.009288963152997876,0.03287900550057099,0.0,-0.3348723766307431,-0.302559893417077,0.0,0,1,1
10,2010-01-10,88.0,86.0,87.48999786376953,86.38999938964844,58631.0,83.94979858398438,ILD.PA,,0.0,0.03287900550057099,0.0,0.0,-0.302559893417077,0.0,1,1,1
11,2010-01-11,88.0,86.0,87.48999786376953,86.38999938964844,58631.0,83.94979858398438,ILD.PA,,0.0,0.03287900550057099,0.0,0.0,-0.302559893417077,0.0,1,1,1
12,2010-01-12,86.97000122070312,85.33000183105469,86.8499984741211,85.69999694824219,77189.0,83.27928924560547,ILD.PA,,-0.00798706385323722,0.0057504737593503386,0.0,0.3165219764288516,-0.590426717322325,0.0,0,1,1
13,2010-01-13,85.75,83.30000305175781,84.86000061035156,85.22000122070312,96957.0,82.81285858154297,ILD.PA,,-0.005600883834674497,-0.043653903748223644,0.0,0.25609866690849725,-0.7044678672015021,0.0,0,1,0
14,2010-01-14,85.0,83.72000122070312,85.0,84.5,143157.0,82.11319732666016,ILD.PA,,-0.00844873516063982,-0.033291425926009977,0.0,0.47649989170456997,-0.11668558876520962,0.0,0,1,0
15,2010-01-15,85.9800033569336,84.61000061035156,84.61000061035156,85.0199966430664,93201.0,82.6185073852539,ILD.PA,,0.0061538064268213954,-0.025000004374652995,0.0,-0.3489595339382636,0.057300056721497405,0.0,1,1,0
16,2010-01-16,85.38999938964844,84.1500015258789,85.19999694824219,84.73999786376953,66811.0,82.3464126586914,ILD.PA,,-0.003293328515083016,-0.019099450602341528,0.0,-0.28315146833188487,0.13951663795602998,0.0,0,1,0
17,2010-01-17,85.38999938964844,84.1500015258789,85.19999694824219,84.73999786376953,66811.0,82.3464126586914,ILD.PA,,0.0,-0.019099450602341528,0.0,0.0,0.13951663795602998,0.0,1,1,0
18,2010-01-18,85.38999938964844,84.1500015258789,85.19999694824219,84.73999786376953,66811.0,82.3464126586914,ILD.PA,,0.0,-0.019099450602341528,0.0,0.0,0.13951663795602998,0.0,1,1,0
19,2010-01-19,84.95999908447266,84.05000305175781,84.77999877929688,84.95999908447266,42871.0,82.56019592285156,ILD.PA,,0.0025961910107290542,-0.008634747842715229,0.0,-0.35832422804627984,-0.4445970280739484,0.0,1,1,0
20,2010-01-20,86.30000305175781,85.0,85.0199966430664,85.75,86481.0,83.32788848876953,ILD.PA,,0.009298504284844356,0.006219182958285607,0.0,1.017237759791001,-0.10804789752158173,0.0,1,1,1
21,2010-01-21,86.5,83.33999633789062,86.0,83.36000061035156,117539.0,81.00538635253906,ILD.PA,,-0.027871712998815634,-0.013491117037259581,0.0,0.359130907366936,-0.17895038314577705,0.0,0,1,0
22,2010-01-22,83.86000061035156,82.52999877929688,83.4000015258789,82.83999633789062,72082.0,80.50008392333984,ILD.PA,,-0.006238055046227542,-0.02564103024289599,0.0,-0.3867397204332179,-0.22659628115578156,0.0,0,1,0
23,2010-01-23,82.62000274658203,81.5,82.62000274658203,81.58999633789062,69927.0,79.28538513183594,ILD.PA,,-0.015089329493708004,-0.03717254667557268,0.0,-0.029896506756194374,0.04663902650761109,0.0,0,1,0
24,2010-01-24,82.62000274658203,81.5,82.62000274658203,81.58999633789062,69927.0,79.28538513183594,ILD.PA,,0.0,-0.03717254667557268,0.0,0.0,0.04663902650761109,0.0,1,1,0
25,2010-01-25,82.62000274658203,81.5,82.62000274658203,81.58999633789062,69927.0,79.28538513183594,ILD.PA,,0.0,-0.03717254667557268,0.0,0.0,0.04663902650761109,0.0,1,1,0
