,Unnamed: 0,Unnamed: 0.1,Date,High,Low,Open,Close,Volume,Adj Close,Ticker,Security,Sector,1_Day_Close_Change,1_Week_Close_Change,1_Month_Close_Change,1_Day_Volume_Change,1_Week_Volume_Change,1_Month_Volume_Change,Day_Class,Month_Class,Week_Class
0,583,583,2011-08-06,20.059999465942386,18.0,19.850000381469727,18.09000015258789,1985700.0,18.09000015258789,ACM,AECOM,industrials,-0.1110565202219722,-0.25921375527967305,-0.3580553599474119,-0.19359161793372315,1.3202851133442397,1.8234039527939712,0,0,0
1,12963,55,2010-02-24,10.640000343322754,9.84000015258789,10.59000015258789,9.880000114440918,8799600.0,9.880000114440918,CAR,Avis Budget Group,industrials,-0.060836531889163485,-0.2577009915131586,-0.13636359468206505,0.8899078628036339,1.5429430123685122,3.419466626487872,0,0,0
2,15154,2246,2016-02-24,25.459999084472656,21.90999984741211,24.899999618530273,22.040000915527344,25923200.0,22.040000915527344,CAR,Avis Budget Group,industrials,-0.2650883266510411,-0.2564102102099011,-0.1305719690782301,6.58320900979962,4.211741053478087,11.361451528300991,0,0,0
3,38098,975,2012-09-01,14.34000015258789,13.25,14.220000267028807,13.399999618530273,1506900.0,13.399999618530273,DY,Dycom Industries Inc,industrials,-0.0771350415925467,-0.2669584729107985,-0.21453692625950715,0.437881679389313,7.167479674796747,4.178350515463918,0,0,0
4,49031,2227,2016-02-05,64.40000152587889,45.11999893188477,64.40000152587889,53.06999969482422,3033700.0,53.06999969482422,ESL,Esterline Technologies,industrials,-0.2995908400943479,-0.3257527593429551,-0.3275468711844568,10.383489681050657,9.819186875891583,14.645693656523981,0,0,0
5,49032,2228,2016-02-06,53.22999954223633,51.70000076293945,52.540000915527344,52.18999862670898,844300.0,52.18999862670898,ESL,Esterline Technologies,industrials,-0.016581893219815957,-0.3242263840711922,-0.31319910391006744,-0.7216929821669908,3.672385168788047,2.497514498757249,0,0,0
6,49035,2231,2016-02-09,53.11999893188477,51.13999938964844,51.36999893188477,52.6500015258789,394400.0,52.6500015258789,ESL,Esterline Technologies,industrials,0.008814004814602816,-0.295934710011586,-0.3039396886472713,-0.532867464171503,0.7118055555555556,1.6293333333333333,1,0,0
7,49036,2232,2016-02-10,54.27000045776367,52.70000076293945,53.06999969482422,52.849998474121094,313400.0,52.849998474121094,ESL,Esterline Technologies,industrials,0.0037986123921363024,-0.3053365246825147,-0.3012956253228927,-0.2053752535496957,0.17334331710969675,1.0893333333333333,1,0,0
8,49037,2233,2016-02-11,53.16999816894531,51.25,51.86999893188477,52.52000045776367,351900.0,52.52000045776367,ESL,Esterline Technologies,industrials,-0.006244049685621311,-0.3068496399020272,-0.31765623457419123,0.12284620293554573,0.3204502814258912,0.37514654161781946,0,0,0
9,49675,2871,2017-11-10,73.8499984741211,69.34999847412111,72.4000015258789,70.5999984741211,1042200.0,70.5999984741211,ESL,Esterline Technologies,industrials,-0.21020249517647127,-0.25684212132504114,-0.2408602314610635,1.0969818913480889,5.010380622837372,6.925475285171102,0,0,0
10,49676,2872,2017-11-11,72.0,69.09999847412111,70.0,69.84999847412111,596600.0,69.84999847412111,ESL,Esterline Technologies,industrials,-0.010623229691356206,-0.2647368581671462,-0.25533053090010394,-0.42755709076952597,3.0947151681537406,3.448918717375093,0,0,0
11,65398,2459,2016-09-24,40.22000122070313,39.540000915527344,39.68000030517578,39.63000106811523,259200.0,37.43789291381836,HNI,HNI Corporation,industrials,-0.008506383342610335,-0.2689540354656373,-0.2812839770260306,-0.14398943196829594,0.3528183716075157,1.0769230769230769,0,0,0
12,79657,583,2011-08-06,29.35000038146973,26.059999465942386,29.06999969482422,26.229999542236328,3278300.0,23.553974151611328,KBR,KBR Inc,industrials,-0.13887063917846998,-0.2527065332616618,-0.32204702834678056,0.05188346274786637,0.8193573450246963,2.016747952516794,0,0,0
13,87704,2176,2015-12-16,20.71999931335449,17.959999084472656,20.40999984741211,18.170000076293945,9196300.0,16.939529418945312,KMT,Kennametal Inc,industrials,-0.12264602223392075,-0.29655438908391063,-0.3220149032255403,0.07392010089568267,11.097211260194683,12.701281287246726,0,0,0
14,87705,2177,2015-12-17,18.86000061035156,17.8700008392334,18.13999938964844,17.940000534057614,3158000.0,16.725105285644528,KMT,Kennametal Inc,industrials,-0.012658202601573354,-0.3121165419271872,-0.3230188477714108,-0.6566010243250002,3.574159907300116,4.206066600725356,0,0,0
15,87706,2178,2015-12-18,18.26000022888184,17.709999084472656,17.940000534057614,18.100000381469727,2868200.0,16.874267578125,KMT,Kennametal Inc,industrials,0.008918608843314413,-0.29296874563442554,-0.3391748526905665,-0.09176694110196326,4.352117932450084,4.212066145738688,1,0,0
16,87707,2179,2015-12-19,18.530000686645508,17.850000381469727,18.170000076293945,18.51000022888184,1936100.0,17.256500244140625,KMT,Kennametal Inc,industrials,0.022651924793982925,-0.27610479273378474,-0.3281306445924691,-0.324977337703089,0.6925430544628026,2.397262677662748,1,0,0
17,121612,587,2011-08-10,18.040000915527344,17.209999084472653,17.610000610351562,17.209999084472653,4326200.0,16.053380966186527,OSK,Oshkosh Corporation,industrials,-0.05126793475563685,-0.2578698280236144,-0.4519108505238194,-0.12983486533781194,0.7118550174105729,2.002637423653526,0,0,0
18,137743,583,2011-08-06,17.739999771118164,15.5600004196167,17.450000762939453,16.139999389648438,4805100.0,15.419493675231935,TEX,Terex Corp,industrials,-0.12234910683392995,-0.25312360324890026,-0.4430641944584742,-0.42021308686366543,1.4846682868814312,1.5857504170478394,0,0,0
